"","ID","Gender_MF","Gender","PCG_IRE","SCG_IRE","SCB_IRE","SCC_IRE","PCG_Educ","SCG_Educ","PCG_father_educ","PCG_mother_educ","SCG_father_educ","SCG_mother_educ","Agreeable_W3_YP","Extravert_W3_YP","Openness_W3_YP","Emo_Stability_W3_YP","Conscientious_W3_YP","Agreeable_W2_PCG","Extravert_W2_PCG","Openness_W2_PCG","Emo_Stability_W2_PCG","Conscientious_W2_PCG","Agreeable_W3_PCG","Extravert_W3_PCG","Openness_W3_PCG","Emo_Stability_W3_PCG","Conscientious_W3_PCG","Agreeable_W3_SCG","Extravert_W3_SCG","Openness_W3_SCG","Emo_Stability_W3_SCG","Conscientious_W3_SCG","English","Maths","Irish","History","French","Spanish","German","Arts_Craft_Design","Music","Home_Econ","Metalwork","Mater_Tech","Technology","Tech_Graphs","Business","Religious_Ed","CSPE","Science","Geography","Discussed_exams","Discussed_friends","Discussed_future","Discussed_teachers","Discussed_workload","Discussed_subjects","PCG_future_educ","SCG_future_educ","DEIS_binary","Progress_to_HEI","School_Type","Grinds"
"1882",2694000,1,1,1,NA,0,1,6,NA,3,2,NA,NA,4.5,5,5.5,6,5.5,7,5,7,6,7,5.5,6,6.5,3.5,7,NA,NA,NA,NA,NA,3,5,2,4,NA,2,NA,NA,NA,NA,NA,3,NA,NA,3,2,1,4,3,3,3,3,3,4,4,6,NA,NA,NA,NA,2
"1883",2695000,1,1,1,1,1,1,3,4,1,2,2,4,3.5,5.5,6,6,4.5,3.5,4,4.5,2,5.5,6,3.5,4,5.5,5.5,5.5,5,4.5,5.5,6,3,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,4,4,4,4,4,4,4,5,4,NA,NA,NA,2
"1884",2697000,1,1,1,1,1,1,4,5,2,3,2,3,3.5,6,6.5,5.5,6,3,2.5,2.5,6,6.5,2,2,4,6.5,7,5,4.5,6.5,7,6,3,4,4,5,NA,4,NA,2,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,2,4,4,4,4,6,6,NA,NA,NA,1
"1885",2698000,1,1,0,NA,1,1,6,NA,1,2,NA,NA,4.5,5,5.5,4,4.5,3,3,6,3,7,5,4.5,7,6,6.5,NA,NA,NA,NA,NA,5,4,4,5,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,3,3,3,5,3,5,4,3,3,3,5,NA,0,5,2,1
"1886",2699000,1,1,0,NA,1,1,3,NA,1,1,NA,NA,7,3.5,6,6.5,6,4,1.5,3.5,1.5,3,7,6.5,6.5,6,4,NA,NA,NA,NA,NA,5,4,4,5,4,NA,NA,NA,NA,NA,NA,3,NA,2,NA,3,3,5,5,5,4,4,5,5,5,6,NA,0,5,2,2
"1887",2700000,1,1,1,0,1,1,3,4,1,1,1,1,4,6.5,7,4,6.5,7,3.5,3.5,7,3,7,7,7,7,5,5.5,5,7,5,2.5,2,4,2,4,NA,NA,1,NA,NA,3,NA,3,NA,NA,3,NA,2,2,5,4,5,4,5,5,5,5,4,0,6,2,2
"1888",2701000,1,1,1,0,1,1,3,4,1,1,1,1,4.5,5,7,7,7,7,6,7,7,0.5,7,7,7,7,6.5,6,4,6.5,5,2,4,3,5,2,NA,NA,1,NA,NA,NA,NA,3,NA,3,2,NA,2,3,2,4,5,5,4,5,5,5,4,0,6,2,2
"1889",2703000,1,1,1,1,1,1,3,3,1,1,1,3,4,7,6.5,6.5,7,4.5,3.5,7,3.5,7,7,7,7,7,7,6.5,5,7,7,7,3,4,4,NA,NA,NA,2,NA,NA,NA,4,4,NA,4,3,NA,3,4,NA,5,5,5,4,5,5,3,3,1,4,4,1
"1890",2705000,1,1,1,NA,1,1,4,NA,1,3,NA,NA,4.5,6,4.5,6,4,6,5,4.5,5.5,3,6,6,3.5,6,4.5,NA,NA,NA,NA,NA,5,4,5,4,4,NA,NA,NA,NA,NA,3,NA,NA,3,3,NA,4,3,4,4,2,4,3,4,4,6,NA,0,5,3,1
"1891",2706000,1,1,1,0,1,1,4,3,1,1,1,1,4.5,4,5,4.5,6,4,4.5,5.5,1,0.5,5.5,2,7,5,5,4.5,2,5,5.5,6,4,2,5,4,4,NA,NA,1,NA,3,NA,NA,NA,NA,3,NA,3,4,4,5,2,4,2,5,4,5,5,0,5,3,2
"1892",2707000,1,1,1,1,1,1,3,5,2,1,1,1,4.5,3.5,4.5,6,4.5,7,4,4,5,4.5,6.5,3.5,6,6.5,4,6.5,3.5,6.5,6,3.5,4,3,4,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,4,4,5,5,3,1,3,3,3,3,6,5,0,5,2,1
"1893",2708000,1,1,1,1,1,1,3,4,4,4,1,1,6,4,6.5,7,5,7,3.5,5,6.5,4,7,5,5,7,4,5,4,4,7,5,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,3,NA,2,NA,NA,2,3,3,4,4,4,4,4,4,5,5,1,5,3,1
"1894",2710000,1,1,1,NA,1,1,3,NA,2,1,NA,NA,3,4,4,4.5,3.5,3.5,3.5,2.5,4,3.5,3.5,3.5,4.5,5,5.5,NA,NA,NA,NA,NA,4,2,4,4,NA,NA,2,NA,NA,NA,4,NA,NA,2,NA,3,3,4,4,4,4,2,3,5,4,5,NA,0,5,2,1
"1895",2711000,1,1,1,NA,1,1,4,NA,3,3,NA,NA,5,6,6,6,6,7,1,7,7,7,6,4.5,5,6.5,4.5,NA,NA,NA,NA,NA,3,4,3,4,NA,3,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,4,4,3,3,4,4,4,4,6,NA,0,6,1,1
