"","ID","Gender_MF","Gender","PCG_IRE","SCG_IRE","SCB_IRE","SCC_IRE","PCG_Educ","SCG_Educ","PCG_father_educ","PCG_mother_educ","SCG_father_educ","SCG_mother_educ","Agreeable_W3_YP","Extravert_W3_YP","Openness_W3_YP","Emo_Stability_W3_YP","Conscientious_W3_YP","Agreeable_W2_PCG","Extravert_W2_PCG","Openness_W2_PCG","Emo_Stability_W2_PCG","Conscientious_W2_PCG","Agreeable_W3_PCG","Extravert_W3_PCG","Openness_W3_PCG","Emo_Stability_W3_PCG","Conscientious_W3_PCG","Agreeable_W3_SCG","Extravert_W3_SCG","Openness_W3_SCG","Emo_Stability_W3_SCG","Conscientious_W3_SCG","English","Maths","Irish","History","French","Spanish","German","Arts_Craft_Design","Music","Home_Econ","Metalwork","Mater_Tech","Technology","Tech_Graphs","Business","Religious_Ed","CSPE","Science","Geography","Discussed_exams","Discussed_friends","Discussed_future","Discussed_teachers","Discussed_workload","Discussed_subjects","PCG_future_educ","SCG_future_educ","DEIS_binary","Progress_to_HEI","School_Type","Grinds"
"1",1000,1,1,1,NA,1,1,5,NA,1,2,NA,NA,4.5,6,6,4.5,5.5,3.5,7,3.5,7,3.5,6.5,4.5,5,6,5.5,NA,NA,NA,NA,NA,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,3,3,3,3,4,4,4,6,NA,0,5,2,1
"2",3000,1,1,1,NA,1,1,5,NA,2,3,NA,NA,3,4,4,6,4,3,5,4.5,4.5,3.5,5.5,4,4,6,5,NA,NA,NA,NA,NA,3,4,3,4,NA,2,NA,4,NA,NA,NA,2,NA,NA,NA,2,1,2,3,3,2,3,4,4,4,5,NA,0,4,3,2
"3",4000,1,1,0,NA,0,0,3,NA,NA,4,NA,NA,6,5.5,6.5,6,5,7,7,7,7,7,6,6.5,5,6.5,5.5,NA,NA,NA,NA,NA,4,3,3,3,3,NA,NA,2,2,NA,NA,NA,NA,NA,2,3,2,4,NA,5,5,5,5,5,5,6,NA,0,4,5,2
"4",5000,1,1,1,1,1,1,5,6,1,2,3,2,6,5,5.5,5,4.5,7,6.5,7,7,7,6,4,4.5,6,4,5.5,4,5,5.5,4,4,4,2,3,NA,NA,3,NA,NA,NA,NA,NA,NA,1,3,NA,3,3,4,4,4,5,4,4,4,5,5,0,6,4,2
"5",6000,1,1,1,NA,0,1,3,NA,1,4,NA,NA,7,3,7,7,7,5.5,3.5,4.5,2,3,4,5,6,4,2,NA,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,3,4,4,5,5,5,5,5,5,4,NA,0,5,2,1
"6",7000,1,1,1,NA,0,1,4,NA,1,2,NA,NA,4,5.5,4.5,5.5,3,3.5,4.5,3,7,3.5,6,3.5,7,6.5,5.5,NA,NA,NA,NA,NA,3,3,3,NA,2,NA,NA,NA,2,3,NA,2,NA,NA,NA,NA,2,4,NA,4,2,4,3,5,5,5,NA,NA,NA,NA,2
"7",12000,1,1,1,NA,1,1,5,NA,2,2,NA,NA,6,3,4,5.5,4.5,6.5,5,3,3.5,3.5,6.5,2.5,6,5,6.5,NA,NA,NA,NA,NA,2,5,4,4,2,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,1,3,3,3,5,5,5,5,5,5,NA,0,6,3,2
"8",13000,1,1,1,NA,1,1,3,2,1,1,1,1,5,6.5,7,7,4.5,3.5,1,3.5,7,1.5,6.5,5,6.5,7,4.5,4.5,4.5,5.5,5.5,4.5,4,3,3,NA,4,NA,NA,4,NA,NA,3,2,NA,4,NA,1,1,3,NA,4,4,4,3,5,5,5,5,0,5,3,1
"9",14000,1,1,1,NA,1,1,2,NA,1,1,NA,NA,4,5.5,5.5,7,4.5,3.5,5,2,4.5,1,3.5,7,4.5,4.5,5,NA,NA,NA,NA,NA,3,1,3,2,NA,1,NA,NA,NA,NA,2,3,NA,NA,NA,NA,3,3,2,3,4,4,4,4,4,5,NA,0,6,5,2
"10",15000,1,1,1,NA,1,1,3,NA,2,3,NA,NA,4.5,3.5,5.5,4,6,1.5,3.5,3,1.5,2,6.5,3,4,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2
"11",16000,1,1,0,NA,1,1,3,NA,1,4,NA,NA,5,6.5,6.5,6,5.5,7,7,7,4.5,5,7,6.5,7,4,4,NA,NA,NA,NA,NA,1,1,3,1,1,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA,3,1,NA,3,5,5,5,4,5,5,NA,1,4,NA,2
"12",17000,1,1,1,0,1,1,6,5,1,1,2,4,3,1,3,4.5,6,3,2.5,4.5,4,3,6,3,4,5,5,4.5,2.5,4,4.5,5.5,3,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,4,5,5,5,2,4,1,4,5,5,6,0,5,2,1
"13",19000,1,1,1,NA,1,1,2,NA,NA,1,NA,NA,3,7,4,3,6.5,2,4,2.5,4,2,4.5,5.5,4,4.5,4.5,NA,NA,NA,NA,NA,3,4,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,2,4,4,5,4,4,4,4,NA,0,6,2,2
"14",20000,1,1,1,NA,1,1,5,NA,1,1,NA,NA,4,5,5.5,2.5,6,7,3.5,6.5,4.5,5,4.5,5,4,2.5,3,NA,NA,NA,NA,NA,3,2,3,3,4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,1,4,4,3,4,4,5,5,NA,0,2,4,1
"15",21000,1,1,1,NA,1,1,4,NA,1,2,NA,NA,4.5,3.5,5,5,5.5,7,1.5,6,7,5,7,4,7,7,6,NA,NA,NA,NA,NA,3,1,2,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,3,2,2,3,1,4,4,4,4,4,4,5,NA,NA,NA,NA,2
"16",22000,1,1,1,NA,1,1,3,NA,1,1,1,1,5,4.5,6,7,7,1.5,7,3.5,1.5,3.5,7,6.5,7,6.5,7,4,5.5,7,6,7,4,4,5,2,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,3,3,5,5,3,5,5,5,5,5,0,3,2,1
"17",25000,1,1,1,NA,1,1,4,NA,1,1,NA,NA,6,3.5,5.5,3.5,4,7,0.5,4.5,3.5,2.5,5.5,1,4,3,2,NA,NA,NA,NA,NA,3,1,2,4,3,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,2,3,4,4,2,4,5,5,5,4,NA,0,5,5,2
"18",26000,1,1,1,NA,1,1,4,NA,2,3,NA,NA,4,5.5,4.5,6,5,4,4,3.5,3,3.5,6.5,3,4.5,6,5,NA,NA,NA,NA,NA,4,5,3,4,3,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3,3,3,4,4,3,5,4,5,5,5,NA,0,5,5,2
"19",29000,1,1,1,NA,1,1,5,NA,2,4,NA,NA,7,3.5,5.5,6.5,4.5,5.5,3,1,6.5,5.5,7,4,4,6,5,NA,NA,NA,NA,NA,4,2,3,5,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,5,5,5,5,5,6,NA,0,6,1,1
"20",30000,1,1,1,NA,1,1,5,NA,1,2,NA,NA,3.5,6,4.5,4,6,3.5,3,4.5,1.5,1.5,6.5,7,5,5,4,NA,NA,NA,NA,NA,3,2,3,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,2,2,3,4,2,4,4,4,5,6,NA,0,3,2,1
"21",31000,1,1,1,NA,1,1,6,NA,3,4,NA,NA,3.5,5,6,6.5,4,6.5,6.5,6.5,7,5.5,3.5,7,5.5,4.5,2.5,NA,NA,NA,NA,NA,5,3,5,5,4,4,NA,2,NA,NA,1,NA,NA,NA,NA,NA,3,4,3,2,2,2,4,4,4,6,NA,0,6,1,2
"22",32000,1,1,1,NA,1,1,3,NA,3,3,NA,NA,4.5,4,5,4.5,4.5,3.5,4,3,2.5,1.5,4,4.5,3.5,4,4.5,NA,NA,NA,NA,NA,4,4,1,4,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,3,4,5,3,5,4,5,5,4,NA,NA,NA,NA,1
"23",34000,1,1,1,NA,1,1,3,NA,2,1,NA,NA,3.5,5,7,6,5,5,3,6,1,2,6,4,5.5,5,2.5,NA,NA,NA,NA,NA,5,2,5,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,5,2,5,5,5,4,5,5,5,NA,0,6,2,1
"24",35000,1,1,1,NA,1,1,3,NA,NA,1,NA,NA,5,6,5,3.5,5,4,7,7,2.5,5.5,5,6.5,7,6,7,NA,NA,NA,NA,NA,2,1,3,3,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,3,2,2,1,5,5,2,3,2,3,NA,0,4,5,2
"25",36000,1,1,0,1,1,1,4,3,1,1,3,3,4.5,6,5.5,5.5,6,3.5,1,4.5,3,5.5,4.5,6.5,6.5,5.5,5.5,4,5,4,4,5,4,3,3,2,NA,4,NA,NA,NA,NA,2,NA,NA,4,NA,3,3,4,4,2,2,2,3,3,2,6,5,0,2,4,2
"26",37000,1,1,1,NA,1,1,3,3,3,1,2,3,5,4,6.5,5.5,2.5,6.5,1.5,5,3.5,0.5,4,4,5.5,3.5,2,4,4,5,4,3,3,3,NA,5,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,2,3,4,4,5,5,5,5,5,5,5,5,1,4,2,1
"27",38000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,3.5,6.5,6,4.5,5,6.5,0.5,3.5,1,4,5.5,1.5,5.5,4,6,NA,NA,NA,NA,NA,3,2,4,5,NA,2,NA,2,NA,NA,NA,NA,3,NA,NA,3,2,3,4,5,5,5,4,5,5,6,NA,0,3,2,2
"28",40000,1,1,1,NA,1,1,5,NA,3,2,NA,NA,4,1,6,2,6.5,3.5,1.5,7,5,3.5,5.5,1,4,1,6,NA,NA,NA,NA,NA,3,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,4,3,3,3,3,3,3,3,4,NA,0,6,2,2
"29",41000,1,1,1,NA,1,1,6,NA,3,2,NA,NA,3,6.5,6.5,6,4,3,5.5,3.5,7,1.5,6.5,7,6.5,7,4.5,NA,NA,NA,NA,NA,3,3,4,3,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,3,3,4,4,3,4,3,4,4,6,NA,0,6,2,2
"30",42000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,3.5,4,5.5,5.5,4,7,3.5,4.5,3,4,4.5,4.5,6.5,5.5,5,NA,NA,NA,NA,NA,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,4,4,5,5,5,2,5,4,5,NA,NA,NA,NA,1
"31",43000,1,1,1,NA,1,1,5,NA,4,3,NA,NA,4,4.5,5.5,6,5,6,7,5.5,7,1.5,4.5,5,5.5,5,4,NA,NA,NA,NA,NA,2,2,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,3,2,3,4,4,5,5,5,5,6,NA,NA,NA,NA,2
"32",46000,1,1,1,NA,1,1,3,NA,1,2,NA,NA,5.5,3.5,5.5,6,5,7,5,7,5,6,7,3.5,7,7,5.5,NA,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,5,NA,1,1,3,2
"33",47000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,1.5,3.5,5.5,5.5,2.5,7,7,7,7,7,6,4.5,4,6,3.5,NA,NA,NA,NA,NA,4,5,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,5,5,3,3,4,3,3,3,5,NA,0,2,2,2
"34",48000,1,1,1,NA,1,1,4,NA,1,1,NA,NA,4,4.5,6.5,4.5,6,6.5,1,4,5,3,7,4,4.5,4.5,5.5,NA,NA,NA,NA,NA,3,3,3,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,1,NA,3,3,3,3,3,5,4,5,5,5,NA,0,5,3,2
"35",49000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,5,6.5,6.5,5,4.5,1.5,7,7,7,1.5,6.5,6,6.5,7,4.5,NA,NA,NA,NA,NA,3,4,2,4,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,3,3,3,5,5,5,5,5,5,6,NA,0,4,2,1
"36",51000,1,1,1,NA,1,1,6,NA,3,3,NA,NA,4.5,6,6,6.5,6,7,4.5,7,3.5,4,7,6,7,7,5,NA,NA,NA,NA,NA,2,3,2,3,4,NA,NA,NA,NA,NA,2,NA,NA,4,NA,2,2,3,3,5,5,5,5,5,5,6,NA,0,5,5,1
"37",52000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,3.5,5.5,5.5,6.5,7,4.5,7,6.5,5,4,4,5,5,4,3,NA,NA,NA,NA,NA,3,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,3,4,2,4,4,4,4,6,NA,0,NA,5,2
"38",53000,1,1,0,NA,1,1,3,NA,2,2,NA,NA,4,1.5,3,1.5,4,7,3.5,3.5,4,5.5,6,1,2,1.5,4.5,NA,NA,NA,NA,NA,2,4,3,4,NA,NA,NA,1,NA,NA,NA,2,NA,1,3,NA,3,4,3,5,3,4,1,4,4,5,NA,0,5,2,2
"39",57000,1,1,0,NA,1,1,4,NA,1,1,NA,NA,3,5.5,6.5,7,6,2,3,1,1.5,1.5,5,4,5,6.5,5.5,NA,NA,NA,NA,NA,3,4,3,5,3,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,3,4,3,5,5,5,5,5,5,5,NA,0,4,2,2
"40",58000,1,1,0,NA,1,1,3,NA,1,2,NA,NA,4.5,4.5,5,5,6,6.5,3,3,4.5,5,5.5,3.5,4.5,5.5,4.5,NA,NA,NA,NA,NA,2,3,2,2,4,NA,NA,NA,NA,NA,NA,3,1,NA,2,3,2,NA,3,5,4,3,1,5,5,5,NA,0,4,2,2
"41",59000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,5,7,5.5,3,7,7,7,7,6.5,7,6.5,6,4.5,5,7,NA,NA,NA,NA,NA,4,2,3,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,3,5,4,4,5,5,5,NA,NA,0,5,2,2
"42",60000,1,1,0,NA,1,1,5,NA,NA,1,NA,NA,6.5,6,4.5,6,4.5,7,5.5,3,3,1.5,6.5,4.5,4.5,6.5,6,NA,NA,NA,NA,NA,2,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,4,2,3,1,2,1,2,4,5,NA,0,5,2,2
"43",61000,1,1,1,NA,0,1,3,NA,1,1,NA,NA,5.5,4.5,6,6,3,1.5,3.5,7,7,3.5,6,6.5,4.5,7,4.5,NA,NA,NA,NA,NA,2,2,2,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,3,4,3,5,3,5,3,5,5,6,NA,NA,NA,NA,1
"44",62000,1,1,1,NA,1,1,4,NA,2,2,NA,NA,3.5,6,4.5,5.5,3.5,2.5,3.5,2,3,5,4.5,6,4.5,5.5,4.5,NA,NA,NA,NA,NA,2,3,5,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,3,3,4,5,1,3,1,1,5,5,NA,NA,NA,NA,1
"45",66000,1,1,1,0,0,1,5,5,1,1,2,1,4,4.5,6,4.5,5,3,4.5,4.5,3.5,4,3.5,4.5,5,3,3.5,4,2.5,4.5,3,3,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,4,4,4,6,5,0,NA,2,2
"46",67000,1,1,1,NA,1,1,4,NA,1,1,NA,NA,4,4.5,6,6,5,2,4,4,4,4,4,4.5,3.5,4,4.5,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA,NA,3,NA,2,2,3,NA,NA,NA,NA,3,4,NA,4,5,5,4,4,5,4,NA,NA,NA,NA,2
"47",68000,1,1,1,NA,1,1,3,NA,2,3,NA,NA,4,4,5.5,7,7,1.5,3.5,4.5,2,3,7,4,6.5,6.5,7,NA,NA,NA,NA,NA,4,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,4,5,4,5,4,3,5,5,NA,0,4,2,2
"48",69000,1,1,1,NA,1,1,4,NA,2,1,NA,NA,3.5,5,7,5.5,4.5,1.5,5.5,7,1.5,1,6,6,6,7,4.5,NA,NA,NA,NA,NA,3,4,3,5,1,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,1,3,4,5,3,5,4,4,5,1,NA,NA,4,4,2
"49",72000,1,1,1,NA,0,1,6,NA,3,4,NA,NA,3,5,7,4.5,6.5,7,3.5,7,7,4,7,5,7,7,3.5,NA,NA,NA,NA,NA,1,5,5,3,NA,NA,3,2,NA,NA,NA,3,NA,NA,NA,NA,3,4,4,3,3,3,3,4,4,5,NA,0,5,2,2
"50",73000,1,1,0,NA,0,0,6,NA,3,3,NA,NA,5,NA,7,5.5,6,7,4,7,4.5,7,6,4.5,7,6.5,5,NA,NA,NA,NA,NA,5,2,4,5,NA,3,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3,4,4,5,4,5,5,5,5,5,NA,0,6,4,2
"51",76000,1,1,1,NA,1,1,4,NA,2,2,NA,NA,3.5,4,4.5,4,4,1.5,3.5,5,1.5,3,2,2,1.5,2,3.5,NA,NA,NA,NA,NA,4,3,3,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,2,NA,NA,5,3,5,5,3,3,5,5,4,NA,0,4,2,1
"52",77000,1,1,0,NA,1,1,3,NA,1,NA,NA,NA,5.5,2.5,6,3,4.5,3.5,2.5,2.5,1.5,6.5,6.5,2,7,5.5,7,NA,NA,NA,NA,NA,5,4,2,4,4,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,3,4,3,4,5,2,5,5,5,5,NA,0,4,2,1
"53",78000,1,1,1,NA,1,1,5,NA,3,4,NA,NA,3.5,6.5,6.5,5.5,3.5,5,7,3,6,1.5,5.5,6.5,6,5.5,2,NA,NA,NA,NA,NA,2,2,3,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,2,2,3,3,3,5,NA,0,6,1,2
"54",80000,1,1,1,NA,1,1,4,6,2,2,3,3,3,6.5,6,5,6.5,2,3.5,2.5,5,4,6,6.5,4.5,4.5,3.5,4.5,6,3.5,3,2.5,3,3,4,3,2,NA,NA,NA,NA,3,NA,1,NA,NA,3,3,2,4,2,4,3,4,4,5,5,5,6,1,NA,4,1
"55",83000,1,1,1,NA,1,1,6,NA,1,1,NA,NA,5.5,3.5,4,3.5,5.5,7,4,7,5,3.5,6,2,5,5,7,NA,NA,NA,NA,NA,4,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,4,4,4,4,3,5,5,5,6,NA,NA,NA,NA,1
"56",85000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,5,4.5,6.5,5,6,3.5,3,2.5,1,3.5,7,5.5,7,5,7,NA,NA,NA,NA,NA,3,3,2,5,NA,NA,NA,3,NA,NA,3,2,NA,NA,NA,NA,3,4,4,5,2,4,3,4,5,1,NA,0,4,4,2
"57",87000,1,1,1,NA,1,1,4,NA,1,2,NA,NA,6,2,5.5,3,6.5,4.5,3,1,3,2.5,4,2.5,5.5,5.5,3.5,NA,NA,NA,NA,NA,4,4,NA,5,NA,NA,NA,1,NA,NA,NA,2,NA,NA,3,NA,3,5,4,2,5,3,5,4,5,6,NA,0,5,2,2
"58",88000,1,1,0,NA,0,0,6,NA,2,2,NA,NA,3.5,5.5,7,7,6,6.5,3,3.5,1.5,5,7,4.5,4,7,6.5,NA,NA,NA,NA,NA,4,1,4,4,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,2,NA,2,4,4,5,4,4,4,5,NA,1,3,NA,2
"59",90000,1,1,1,NA,1,1,5,4,4,3,2,1,6,4.5,6.5,7,4.5,7,5,3,7,1.5,6.5,7,6,5.5,4,4,4,5.5,6,4,3,3,4,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,3,5,3,5,4,5,4,5,5,NA,NA,NA,2
"60",91000,1,1,1,NA,1,1,3,NA,3,2,NA,NA,5,6,6,4,4.5,3.5,1,5,4,3,4,5.5,5,4,4.5,NA,NA,NA,NA,NA,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,2,4,3,5,5,4,5,3,NA,0,3,2,1
"61",92000,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1.5,5,6,1.5,4.5,7,7,7,7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,3,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2,1
"62",93000,1,1,1,NA,1,1,4,NA,3,3,NA,NA,5,5.5,5.5,6.5,5,4.5,4,7,2,4,6,1.5,5,6,5,NA,NA,NA,NA,NA,4,4,3,3,5,NA,NA,3,NA,NA,NA,NA,NA,NA,3,3,3,4,4,3,2,2,2,4,4,6,NA,0,6,2,1
"63",94000,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,4.5,4,4.5,4,5,2,4.5,4,4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,2
"64",96000,1,1,1,NA,1,1,2,NA,1,1,NA,NA,4,5,5.5,5.5,4,2.5,4,4,4,3,6.5,6.5,5,5,2.5,NA,NA,NA,NA,NA,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,3,4,2,3,3,5,5,5,5,5,5,NA,0,4,2,2
"65",98000,1,1,1,NA,1,1,5,NA,1,1,NA,NA,4.5,6.5,7,6,5.5,1.5,4,4,2.5,4,3.5,4.5,3,3,2.5,NA,NA,NA,NA,NA,4,4,2,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,4,4,4,4,5,4,5,5,NA,0,NA,5,2
"66",99000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,7,4.5,6.5,5,7,3,0.5,6,1,5.5,3.5,3.5,6,2.5,4,NA,NA,NA,NA,NA,3,5,3,1,NA,1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,4,3,4,3,3,2,4,4,NA,1,1,5,1
"67",1e+05,1,1,1,NA,1,1,3,NA,3,1,NA,NA,4,4.5,6.5,6.5,7,5.5,5,7,0.5,3.5,7,5,6.5,7,7,NA,NA,NA,NA,NA,3,3,1,2,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,4,3,4,4,5,5,5,5,NA,NA,NA,NA,1
"68",102000,1,1,1,1,1,1,6,4,4,1,1,1,3,4.5,7,6,4.5,6.5,7,0.5,7,4.5,5,6,6,4.5,1,5.5,4,6,4,3,5,3,4,5,4,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,4,3,3,4,3,4,4,4,4,5,5,0,6,1,1
"69",103000,1,1,1,1,1,1,6,6,3,3,4,4,2.5,4,4.5,6.5,7,5,4,3,6,5,4.5,4,4,3,4,5.5,3.5,4.5,6,5.5,5,2,5,5,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,5,5,4,4,5,6,6,0,5,3,1
"70",104000,NA,NA,1,0,1,1,4,5,3,2,4,4,4,6,4.5,5.5,5,3,4,5,6.5,5,6.5,4,6,6.5,5,5.5,4.5,6.5,3,5,3,4,2,5,NA,2,NA,3,NA,NA,NA,NA,1,NA,NA,2,2,NA,4,4,4,5,4,4,4,5,6,0,6,4,2
"71",105000,1,1,1,NA,1,1,6,NA,4,3,NA,NA,4.5,6.5,6.5,6,4,7,4,2,3.5,0.5,3.5,6,7,6.5,4.5,NA,NA,NA,NA,NA,3,3,3,3,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,3,3,5,5,4,5,5,5,5,NA,0,6,1,1
"72",106000,1,1,1,NA,1,1,1,NA,1,1,NA,NA,5.5,6,3.5,5.5,4.5,3.5,4,6,1.5,0.5,1.5,4,4,1,1,NA,NA,NA,NA,NA,3,3,NA,4,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,2,2,NA,3,4,5,4,5,5,5,1,NA,0,1,5,2
"73",108000,1,1,1,1,1,1,4,2,1,1,2,2,4.5,4,5.5,2.5,4.5,2,7,3,5.5,2.5,5.5,4,6,6,2,5,4,7,4.5,4.5,3,3,3,3,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,3,2,3,4,5,4,4,4,5,5,5,5,0,5,2,2
"74",110000,1,1,1,NA,1,1,4,NA,4,3,NA,NA,6,4.5,6.5,4,6,3,3.5,6,2.5,3,6,4,6,3,5.5,NA,NA,NA,NA,NA,4,3,NA,3,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,2,NA,3,3,3,3,3,3,3,5,NA,0,5,2,2
"75",111000,1,1,1,1,1,1,4,2,1,1,1,1,3.5,2.5,5,5.5,4,2.5,4.5,6,3,1.5,6,3,5,5.5,4.5,4,4,7,4.5,4.5,3,4,1,3,NA,NA,1,NA,NA,3,4,NA,NA,3,NA,NA,4,3,4,5,3,3,3,5,5,5,5,0,5,3,2
"76",112000,1,1,1,1,0,1,3,2,1,1,1,1,3.5,5.5,7,7,5,5,2.5,1,2,1,4,3.5,4,2,3.5,6,2.5,4.5,7,4,3,5,NA,4,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,3,4,4,3,1,3,3,3,3,5,NA,0,5,3,2
"77",114000,1,1,1,NA,1,1,2,NA,1,1,NA,NA,4,6,6.5,6,6.5,7,4,5,3.5,7,6,4.5,4.5,5.5,7,NA,NA,NA,NA,NA,3,4,4,4,NA,NA,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,2,3,3,3,3,3,4,3,NA,0,5,2,2
"78",115000,1,1,1,NA,1,1,4,NA,2,2,NA,NA,5,4,4,5,5.5,3.5,3,4.5,3,3.5,6,4,4.5,5,5.5,NA,NA,NA,NA,NA,4,3,3,2,NA,NA,3,2,NA,NA,NA,3,NA,NA,3,3,3,NA,4,3,3,3,3,3,4,4,NA,0,5,2,2
"79",117000,1,1,1,NA,1,1,3,NA,2,3,NA,NA,4.5,4.5,5.5,5.5,4,6,2,5.5,1.5,4.5,5.5,3.5,4,6,5.5,NA,NA,NA,NA,NA,4,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,NA,2,4,4,4,3,3,4,1,NA,0,3,2,2
"80",118000,1,1,1,1,1,1,3,3,1,2,1,1,4,6,5.5,6,6.5,3.5,2.5,3,6.5,2,4,6,5,4.5,4.5,4,5.5,5,3,4,4,3,4,3,4,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,3,3,3,4,2,4,3,4,5,5,5,NA,NA,NA,1
"81",120000,1,1,1,1,1,1,4,5,1,1,1,1,3.5,6,2,6,5,7,4.5,5,7,3.5,6.5,5,3.5,5,4,5.5,3,5.5,7,4,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,3,5,5,5,5,5,5,5,5,NA,NA,NA,1
