"ID","Gender_MF","Gender","PCG_IRE","SCG_IRE","SCB_IRE","SCC_IRE","PCG_Educ","SCG_Educ","PCG_father_educ","PCG_mother_educ","SCG_father_educ","SCG_mother_educ","Agreeable_W3_YP","Extravert_W3_YP","Openness_W3_YP","Emo_Stability_W3_YP","Conscientious_W3_YP","Agreeable_W2_PCG","Extravert_W2_PCG","Openness_W2_PCG","Emo_Stability_W2_PCG","Conscientious_W2_PCG","Agreeable_W3_PCG","Extravert_W3_PCG","Openness_W3_PCG","Emo_Stability_W3_PCG","Conscientious_W3_PCG","Agreeable_W3_SCG","Extravert_W3_SCG","Openness_W3_SCG","Emo_Stability_W3_SCG","Conscientious_W3_SCG","English","Maths","Irish","History","French","Spanish","German","Arts_Craft_Design","Music","Home_Econ","Metalwork","Mater_Tech","Technology","Tech_Graphs","Business","Religious_Ed","CSPE","Science","Geography","Discussed_exams","Discussed_friends","Discussed_future","Discussed_teachers","Discussed_workload","Discussed_subjects","PCG_future_educ","SCG_future_educ","DEIS_binary","Progress_to_HEI","School_Type","Grinds","Gender_MF_2","History_Grade","English_Grade","Maths_Grade","Irish_Grade","PH_beha_W1","PH_intell_W1","PH_phys_W1","PH_free_anx_W1","PH_pop_W1","PH_happi_W1","PH_beha_W2","PH_intell_W2","PH_phys_W2","PH_free_anx_W2","PH_pop_W2","PH_happi_W2","TC_reading","TC_writing","TC_comprehension","TC_maths","TC_imagin_creat","TC_oral_comm","TC_prob_solving","Discussed_subjects_PCG","Discussed_workload_PCG","Discussed_teachers_PCG","Discussed_future_PCG","Discussed_friends_PCG","Discussed_exams_PCG","Discussed_subjects_YP","Discussed_workload_YP","Discussed_teachers_YP","Discussed_future_YP","Discussed_friends_YP","Discussed_exams_YP"
1000,1,1,1,NA,1,1,5,NA,1,2,NA,NA,4.5,6,6,4.5,5.5,3.5,7,3.5,7,3.5,6.5,4.5,5,6,5.5,NA,NA,NA,NA,NA,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,3,3,3,3,4,4,4,6,NA,0,5,2,1,"Male","C","C","D","C",11,15,10,12,11,8,14,16,11,14,12,10,2,1,2,2,1,2,2,4,4,4,3,3,3,4,4,4,4,4,4
3000,1,1,1,NA,1,1,5,NA,2,3,NA,NA,3,4,4,6,4,3,5,4.5,4.5,3.5,5.5,4,4,6,5,NA,NA,NA,NA,NA,3,4,3,4,NA,2,NA,4,NA,NA,NA,2,NA,NA,NA,2,1,2,3,3,2,3,4,4,4,5,NA,0,4,3,2,"Male","B","C","B","C",4,8,7,9,9,7,10,5,8,14,11,10,3,1,3,3,2,2,2,4,4,4,3,2,3,2,1,2,2,1,2
4000,1,1,0,NA,0,0,3,NA,NA,4,NA,NA,6,5.5,6.5,6,5,7,7,7,7,7,6,6.5,5,6.5,5.5,NA,NA,NA,NA,NA,4,3,3,3,3,NA,NA,2,2,NA,NA,NA,NA,NA,2,3,2,4,NA,5,5,5,5,5,5,6,NA,0,4,5,2,"Male","C","B","C","C",10,11,8,11,8,8,13,14,10,13,11,9,2,3,3,2,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5
5000,1,1,1,1,1,1,5,6,1,2,3,2,6,5,5.5,5,4.5,7,6.5,7,7,7,6,4,4.5,6,4,5.5,4,5,5.5,4,4,4,2,3,NA,NA,3,NA,NA,NA,NA,NA,NA,1,3,NA,3,3,4,4,4,5,4,4,4,5,5,0,6,4,2,"Male","C","B","B","D",11,14,8,13,10,10,13,13,10,14,12,9,3,3,3,3,3,3,3,4,4,4,5,4,4,5,5,3,4,4,3
6000,1,1,1,NA,0,1,3,NA,1,4,NA,NA,7,3,7,7,7,5.5,3.5,4.5,2,3,4,5,6,4,2,NA,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,3,4,4,5,5,5,5,5,5,4,NA,0,5,2,1,"Male","B","C","B",NA,8,8,7,5,5,6,11,5,4,8,6,8,2,1,2,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5
7000,1,1,1,NA,0,1,4,NA,1,2,NA,NA,4,5.5,4.5,5.5,3,3.5,4.5,3,7,3.5,6,3.5,7,6.5,5.5,NA,NA,NA,NA,NA,3,3,3,NA,2,NA,NA,NA,2,3,NA,2,NA,NA,NA,NA,2,4,NA,4,2,4,3,5,5,5,NA,NA,NA,NA,2,"Male",NA,"C","C","C",11,6,7,9,7,5,14,13,10,14,9,10,3,2,3,2,3,3,2,5,5,3,4,2,4,4,3,2,3,3,4
12000,1,1,1,NA,1,1,5,NA,2,2,NA,NA,6,3,4,5.5,4.5,6.5,5,3,3.5,3.5,6.5,2.5,6,5,6.5,NA,NA,NA,NA,NA,2,5,4,4,2,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,1,3,3,3,5,5,5,5,5,5,NA,0,6,3,2,"Male","B","D","A","B",10,13,6,13,9,9,14,12,7,13,8,8,2,2,2,2,3,2,2,5,5,5,5,5,3,3,2,2,3,4,2
13000,1,1,1,NA,1,1,3,2,1,1,1,1,5,6.5,7,7,4.5,3.5,1,3.5,7,1.5,6.5,5,6.5,7,4.5,4.5,4.5,5.5,5.5,4.5,4,3,3,NA,4,NA,NA,4,NA,NA,3,2,NA,4,NA,1,1,3,NA,4,4,4,3,5,5,5,5,0,5,3,1,"Male",NA,"B","C","C",11,6,2,7,4,4,14,10,6,9,10,9,3,2,3,3,3,2,3,5,5,3,4,4,4,5,5,5,3,5,4
14000,1,1,1,NA,1,1,2,NA,1,1,NA,NA,4,5.5,5.5,7,4.5,3.5,5,2,4.5,1,3.5,7,4.5,4.5,5,NA,NA,NA,NA,NA,3,1,3,2,NA,1,NA,NA,NA,NA,2,3,NA,NA,NA,NA,3,3,2,3,4,4,4,4,4,5,NA,0,6,5,2,"Male","D","C","E or lower","C",6,13,10,13,11,8,11,14,10,14,12,9,3,2,2,2,2,3,2,4,4,4,4,4,3,4,3,2,3,3,3
15000,1,1,1,NA,1,1,3,NA,2,3,NA,NA,4.5,3.5,5.5,4,6,1.5,3.5,3,1.5,2,6.5,3,4,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"Male",NA,NA,NA,NA,13,15,10,13,10,10,13,11,10,9,9,10,3,3,3,3,2,3,3,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4
16000,1,1,0,NA,1,1,3,NA,1,4,NA,NA,5,6.5,6.5,6,5.5,7,7,7,4.5,5,7,6.5,7,4,4,NA,NA,NA,NA,NA,1,1,3,1,1,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA,3,1,NA,3,5,5,5,4,5,5,NA,1,4,NA,2,"Male","E or lower","E or lower","E or lower","C",12,13,9,12,7,10,14,16,10,13,11,10,1,2,2,2,2,2,2,5,4,5,5,5,3,5,4,4,3,4,3
17000,1,1,1,0,1,1,6,5,1,1,2,4,3,1,3,4.5,6,3,2.5,4.5,4,3,6,3,4,5,5,4.5,2.5,4,4.5,5.5,3,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,4,5,5,5,2,4,1,4,5,5,6,0,5,2,1,"Male","A","C","B","C",14,15,9,14,7,10,14,11,5,9,4,9,3,3,3,3,3,3,3,5,4,1,4,2,5,5,4,5,3,5,5
19000,1,1,1,NA,1,1,2,NA,NA,1,NA,NA,3,7,4,3,6.5,2,4,2.5,4,2,4.5,5.5,4,4.5,4.5,NA,NA,NA,NA,NA,3,4,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,2,4,4,5,4,4,4,4,NA,0,6,2,2,"Male","C","C","B","C",13,13,9,12,10,10,12,12,9,12,11,9,2,2,3,3,2,2,3,4,4,4,5,4,4,2,4,5,3,5,5
20000,1,1,1,NA,1,1,5,NA,1,1,NA,NA,4,5,5.5,2.5,6,7,3.5,6.5,4.5,5,4.5,5,4,2.5,3,NA,NA,NA,NA,NA,3,2,3,3,4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,1,4,4,3,4,4,5,5,NA,0,2,4,1,"Male","C","C","D","C",NA,NA,NA,NA,NA,NA,8,12,8,7,10,7,2,2,2,2,2,2,2,5,4,4,3,4,4,4,1,1,4,1,1
21000,1,1,1,NA,1,1,4,NA,1,2,NA,NA,4.5,3.5,5,5,5.5,7,1.5,6,7,5,7,4,7,7,6,NA,NA,NA,NA,NA,3,1,2,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,3,2,2,3,1,4,4,4,4,4,4,5,NA,NA,NA,NA,2,"Male","D","C","E or lower","D",14,15,8,12,8,10,14,10,9,12,10,10,2,2,2,1,2,3,2,4,4,4,4,4,4,4,5,4,5,4,5
22000,1,1,1,NA,1,1,3,NA,1,1,1,1,5,4.5,6,7,7,1.5,7,3.5,1.5,3.5,7,6.5,7,6.5,7,4,5.5,7,6,7,4,4,5,2,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,3,3,5,5,3,5,5,5,5,5,0,3,2,1,"Male","D","B","B","A",4,10,9,9,6,7,6,12,11,12,8,10,2,2,2,2,2,2,2,5,5,5,3,5,5,5,4,5,5,4,5
25000,1,1,1,NA,1,1,4,NA,1,1,NA,NA,6,3.5,5.5,3.5,4,7,0.5,4.5,3.5,2.5,5.5,1,4,3,2,NA,NA,NA,NA,NA,3,1,2,4,3,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,2,3,4,4,2,4,5,5,5,4,NA,0,5,5,2,"Male","B","C","E or lower","D",13,9,6,12,7,7,14,12,3,9,5,5,3,3,3,2,3,2,2,5,5,5,4,2,4,3,4,3,5,2,4
26000,1,1,1,NA,1,1,4,NA,2,3,NA,NA,4,5.5,4.5,6,5,4,4,3.5,3,3.5,6.5,3,4.5,6,5,NA,NA,NA,NA,NA,4,5,3,4,3,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3,3,3,4,4,3,5,4,5,5,5,NA,0,5,5,2,"Male","B","B","A","C",NA,NA,NA,NA,NA,NA,13,15,7,14,11,8,2,2,3,3,2,2,3,5,5,4,5,3,4,5,5,5,5,3,4
29000,1,1,1,NA,1,1,5,NA,2,4,NA,NA,7,3.5,5.5,6.5,4.5,5.5,3,1,6.5,5.5,7,4,4,6,5,NA,NA,NA,NA,NA,4,2,3,5,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,5,5,5,5,5,6,NA,0,6,1,1,"Male","A","B","D","C",5,7,4,3,4,2,12,11,10,8,8,8,2,3,2,2,3,2,2,5,5,5,5,5,5,5,5,4,5,4,4
30000,1,1,1,NA,1,1,5,NA,1,2,NA,NA,3.5,6,4.5,4,6,3.5,3,4.5,1.5,1.5,6.5,7,5,5,4,NA,NA,NA,NA,NA,3,2,3,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,2,2,3,4,2,4,4,4,5,6,NA,0,3,2,1,"Male","D","C","D","C",14,15,9,14,11,10,14,16,10,14,10,10,3,3,3,3,3,3,2,5,4,4,4,2,4,3,3,3,4,3,3
31000,1,1,1,NA,1,1,6,NA,3,4,NA,NA,3.5,5,6,6.5,4,6.5,6.5,6.5,7,5.5,3.5,7,5.5,4.5,2.5,NA,NA,NA,NA,NA,5,3,5,5,4,4,NA,2,NA,NA,1,NA,NA,NA,NA,NA,3,4,3,2,2,2,4,4,4,6,NA,0,6,1,2,"Male","A","A","C","A",14,15,10,13,10,9,14,15,10,12,11,9,NA,NA,NA,2,2,2,2,4,4,4,2,2,2,5,5,5,4,5,5
32000,1,1,1,NA,1,1,3,NA,3,3,NA,NA,4.5,4,5,4.5,4.5,3.5,4,3,2.5,1.5,4,4.5,3.5,4,4.5,NA,NA,NA,NA,NA,4,4,1,4,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,3,4,5,3,5,4,5,5,4,NA,NA,NA,NA,1,"Male","B","B","B","E or lower",12,13,8,12,8,10,11,9,4,14,10,8,1,2,1,1,1,1,1,5,5,4,5,3,5,3,5,2,3,2,4
34000,1,1,1,NA,1,1,3,NA,2,1,NA,NA,3.5,5,7,6,5,5,3,6,1,2,6,4,5.5,5,2.5,NA,NA,NA,NA,NA,5,2,5,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,5,2,5,5,5,4,5,5,5,NA,0,6,2,1,"Male","D","A","D","A",8,10,4,10,1,9,14,16,10,14,10,10,2,2,2,2,2,2,2,5,5,4,5,5,5,5,5,1,4,5,5
35000,1,1,1,NA,1,1,3,NA,NA,1,NA,NA,5,6,5,3.5,5,4,7,7,2.5,5.5,5,6.5,7,6,7,NA,NA,NA,NA,NA,2,1,3,3,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,3,2,2,1,5,5,2,3,2,3,NA,0,4,5,2,"Male","C","D","E or lower","C",9,11,8,12,12,8,13,16,8,14,12,8,3,3,3,3,3,2,2,2,3,2,5,5,1,4,2,2,5,5,1
36000,1,1,0,1,1,1,4,3,1,1,3,3,4.5,6,5.5,5.5,6,3.5,1,4.5,3,5.5,4.5,6.5,6.5,5.5,5.5,4,5,4,4,5,4,3,3,2,NA,4,NA,NA,NA,NA,2,NA,NA,4,NA,3,3,4,4,2,2,2,3,3,2,6,5,0,2,4,2,"Male","D","B","C","C",13,14,7,9,7,6,13,14,11,14,11,10,2,3,3,3,3,3,3,2,3,3,2,2,2,5,5,4,5,4,4
37000,1,1,1,NA,1,1,3,3,3,1,2,3,5,4,6.5,5.5,2.5,6.5,1.5,5,3.5,0.5,4,4,5.5,3.5,2,4,4,5,4,3,3,3,NA,5,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,2,3,4,4,5,5,5,5,5,5,5,5,1,4,2,1,"Male","A","C","C",NA,9,10,5,9,9,9,11,14,11,14,12,10,1,1,1,1,2,2,1,5,5,5,5,5,5,4,4,4,5,3,5
38000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,3.5,6.5,6,4.5,5,6.5,0.5,3.5,1,4,5.5,1.5,5.5,4,6,NA,NA,NA,NA,NA,3,2,4,5,NA,2,NA,2,NA,NA,NA,NA,3,NA,NA,3,2,3,4,5,5,5,4,5,5,6,NA,0,3,2,2,"Male","A","C","D","B",10,6,3,4,2,5,13,12,5,7,5,7,2,2,2,1,2,3,2,5,5,4,5,5,5,5,4,5,4,4,5
40000,1,1,1,NA,1,1,5,NA,3,2,NA,NA,4,1,6,2,6.5,3.5,1.5,7,5,3.5,5.5,1,4,1,6,NA,NA,NA,NA,NA,3,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,4,3,3,3,3,3,3,3,4,NA,0,6,2,2,"Male","B","C","A","C",14,15,10,14,11,10,14,15,10,14,12,10,3,2,3,3,2,3,3,3,3,3,3,3,3,4,4,4,3,3,3
41000,1,1,1,NA,1,1,6,NA,3,2,NA,NA,3,6.5,6.5,6,4,3,5.5,3.5,7,1.5,6.5,7,6.5,7,4.5,NA,NA,NA,NA,NA,3,3,4,3,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,3,3,4,4,3,4,3,4,4,6,NA,0,6,2,2,"Male","C","C","C","B",13,13,9,13,9,10,14,13,10,12,10,10,3,3,3,3,3,3,NA,4,4,3,4,3,4,4,4,3,4,4,4
42000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,3.5,4,5.5,5.5,4,7,3.5,4.5,3,4,4.5,4.5,6.5,5.5,5,NA,NA,NA,NA,NA,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,4,4,5,5,5,2,5,4,5,NA,NA,NA,NA,1,"Male","C","C",NA,"D",14,15,8,14,10,9,13,10,9,11,10,8,3,1,3,2,2,3,3,4,5,2,5,5,5,5,5,4,5,4,3
43000,1,1,1,NA,1,1,5,NA,4,3,NA,NA,4,4.5,5.5,6,5,6,7,5.5,7,1.5,4.5,5,5.5,5,4,NA,NA,NA,NA,NA,2,2,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,3,2,3,4,4,5,5,5,5,6,NA,NA,NA,NA,2,"Male","D","D","D","C",13,14,7,11,9,9,11,10,8,13,10,10,2,2,2,2,2,2,3,5,5,5,5,4,4,5,5,5,5,5,5
46000,1,1,1,NA,1,1,3,NA,1,2,NA,NA,5.5,3.5,5.5,6,5,7,5,7,5,6,7,3.5,7,7,5.5,NA,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,5,NA,1,1,3,2,"Male","B","C","C","B",14,16,9,14,10,10,NA,NA,NA,NA,NA,NA,2,1,2,2,NA,1,2,4,4,4,4,4,4,5,4,2,5,4,5
47000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,1.5,3.5,5.5,5.5,2.5,7,7,7,7,7,6,4.5,4,6,3.5,NA,NA,NA,NA,NA,4,5,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,5,5,3,3,4,3,3,3,5,NA,0,2,2,2,"Male","C","B","A","B",11,10,7,11,8,8,13,16,10,13,12,9,2,1,2,3,1,2,3,3,3,3,4,3,3,2,3,1,3,1,3
48000,1,1,1,NA,1,1,4,NA,1,1,NA,NA,4,4.5,6.5,4.5,6,6.5,1,4,5,3,7,4,4.5,4.5,5.5,NA,NA,NA,NA,NA,3,3,3,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,1,NA,3,3,3,3,3,5,4,5,5,5,NA,0,5,3,2,"Male","D","C","C","C",9,8,6,11,8,9,13,12,10,10,9,9,2,1,1,1,2,2,1,5,5,4,5,3,3,3,3,1,4,2,3
49000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,5,6.5,6.5,5,4.5,1.5,7,7,7,1.5,6.5,6,6.5,7,4.5,NA,NA,NA,NA,NA,3,4,2,4,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,3,3,3,5,5,5,5,5,5,6,NA,0,4,2,1,"Male","B","C","B","D",13,14,9,14,11,10,14,12,8,12,11,9,3,2,3,2,3,3,2,5,5,5,5,5,5,5,5,5,5,4,5
51000,1,1,1,NA,1,1,6,NA,3,3,NA,NA,4.5,6,6,6.5,6,7,4.5,7,3.5,4,7,6,7,7,5,NA,NA,NA,NA,NA,2,3,2,3,4,NA,NA,NA,NA,NA,2,NA,NA,4,NA,2,2,3,3,5,5,5,5,5,5,6,NA,0,5,5,1,"Male","C","D","C","D",12,14,10,14,11,10,13,10,9,8,8,9,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,4,4,5,4
52000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,3.5,5.5,5.5,6.5,7,4.5,7,6.5,5,4,4,5,5,4,3,NA,NA,NA,NA,NA,3,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,3,4,2,4,4,4,4,6,NA,0,NA,5,2,"Male","B","C","B","C",13,16,9,9,9,9,11,14,7,8,11,7,2,2,2,2,2,2,2,4,4,4,4,2,4,4,1,4,4,1,4
53000,1,1,0,NA,1,1,3,NA,2,2,NA,NA,4,1.5,3,1.5,4,7,3.5,3.5,4,5.5,6,1,2,1.5,4.5,NA,NA,NA,NA,NA,2,4,3,4,NA,NA,NA,1,NA,NA,NA,2,NA,1,3,NA,3,4,3,5,3,4,1,4,4,5,NA,0,5,2,2,"Male","B","D","B","C",10,8,1,3,3,3,14,9,1,5,4,5,3,3,3,2,2,2,2,4,4,1,4,3,5,4,4,3,4,5,3
57000,1,1,0,NA,1,1,4,NA,1,1,NA,NA,3,5.5,6.5,7,6,2,3,1,1.5,1.5,5,4,5,6.5,5.5,NA,NA,NA,NA,NA,3,4,3,5,3,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,3,4,3,5,5,5,5,5,5,5,NA,0,4,2,2,"Male","A","C","B","C",14,13,5,13,11,9,14,11,5,12,10,7,3,3,3,2,2,2,2,5,5,5,5,5,5,5,5,5,4,4,5
58000,1,1,0,NA,1,1,3,NA,1,2,NA,NA,4.5,4.5,5,5,6,6.5,3,3,4.5,5,5.5,3.5,4.5,5.5,4.5,NA,NA,NA,NA,NA,2,3,2,2,4,NA,NA,NA,NA,NA,NA,3,1,NA,2,3,2,NA,3,5,4,3,1,5,5,5,NA,0,4,2,2,"Male","D","D","C","D",10,11,7,10,9,9,14,15,11,14,12,9,3,2,3,3,2,3,3,5,5,1,3,4,5,4,3,3,4,4,4
59000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,5,7,5.5,3,7,7,7,7,6.5,7,6.5,6,4.5,5,7,NA,NA,NA,NA,NA,4,2,3,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,3,5,4,4,5,5,5,NA,NA,0,5,2,2,"Male","E or lower","B","D","C",13,15,8,11,8,10,3,11,10,1,3,7,2,2,2,3,2,2,2,5,5,5,4,4,5,4,5,5,5,4,4
60000,1,1,0,NA,1,1,5,NA,NA,1,NA,NA,6.5,6,4.5,6,4.5,7,5.5,3,3,1.5,6.5,4.5,4.5,6.5,6,NA,NA,NA,NA,NA,2,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,4,2,3,1,2,1,2,4,5,NA,0,5,2,2,"Male","E or lower","D","D","C",13,16,10,13,11,10,14,12,6,13,10,8,2,3,3,3,2,2,2,4,2,1,2,1,3,4,2,2,4,3,2
61000,1,1,1,NA,0,1,3,NA,1,1,NA,NA,5.5,4.5,6,6,3,1.5,3.5,7,7,3.5,6,6.5,4.5,7,4.5,NA,NA,NA,NA,NA,2,2,2,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,3,4,3,5,3,5,3,5,5,6,NA,NA,NA,NA,1,"Male","C","D","D","D",13,15,8,14,7,10,11,11,10,14,12,10,2,2,2,2,3,3,2,5,5,3,5,3,5,5,5,4,3,4,3
62000,1,1,1,NA,1,1,4,NA,2,2,NA,NA,3.5,6,4.5,5.5,3.5,2.5,3.5,2,3,5,4.5,6,4.5,5.5,4.5,NA,NA,NA,NA,NA,2,3,5,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,3,3,4,5,1,3,1,1,5,5,NA,NA,NA,NA,1,"Male","D","D","C","A",2,4,2,2,0,0,12,8,9,12,10,10,2,2,2,2,2,2,2,5,1,1,3,1,5,4,4,1,4,2,5
66000,1,1,1,0,0,1,5,5,1,1,2,1,4,4.5,6,4.5,5,3,4.5,4.5,3.5,4,3.5,4.5,5,3,3.5,4,2.5,4.5,3,3,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,4,4,4,6,5,0,NA,2,2,"Male",NA,"E or lower","B","A",9,10,10,9,6,9,14,9,7,12,9,9,2,2,3,3,2,2,2,4,4,4,5,3,3,4,4,4,4,3,3
67000,1,1,1,NA,1,1,4,NA,1,1,NA,NA,4,4.5,6,6,5,2,4,4,4,4,4,4.5,3.5,4,4.5,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA,NA,3,NA,2,2,3,NA,NA,NA,NA,3,4,NA,4,5,5,4,4,5,4,NA,NA,NA,NA,2,"Male",NA,"B","B","C",11,5,5,10,7,9,10,12,8,10,10,7,3,2,2,2,3,2,2,5,4,4,5,5,4,4,4,5,4,5,4
68000,1,1,1,NA,1,1,3,NA,2,3,NA,NA,4,4,5.5,7,7,1.5,3.5,4.5,2,3,7,4,6.5,6.5,7,NA,NA,NA,NA,NA,4,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,4,5,4,5,4,3,5,5,NA,0,4,2,2,"Male","C","B","D","C",13,14,9,11,10,9,14,15,11,14,11,10,1,1,1,1,1,1,1,5,3,4,5,4,5,4,4,4,3,3,4
69000,1,1,1,NA,1,1,4,NA,2,1,NA,NA,3.5,5,7,5.5,4.5,1.5,5.5,7,1.5,1,6,6,6,7,4.5,NA,NA,NA,NA,NA,3,4,3,5,1,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,1,3,4,5,3,5,4,4,5,1,NA,NA,4,4,2,"Male","A","C","B","C",14,13,9,12,11,10,9,13,10,12,11,10,3,3,3,3,3,2,3,5,4,4,5,3,5,4,4,4,3,1,1
72000,1,1,1,NA,0,1,6,NA,3,4,NA,NA,3,5,7,4.5,6.5,7,3.5,7,7,4,7,5,7,7,3.5,NA,NA,NA,NA,NA,1,5,5,3,NA,NA,3,2,NA,NA,NA,3,NA,NA,NA,NA,3,4,4,3,3,3,3,4,4,5,NA,0,5,2,2,"Male","C","E or lower","A","A",13,15,8,14,9,10,12,14,10,12,9,10,3,2,3,3,2,2,2,4,4,3,3,3,3,4,4,4,3,3,2
73000,1,1,0,NA,0,0,6,NA,3,3,NA,NA,5,NA,7,5.5,6,7,4,7,4.5,7,6,4.5,7,6.5,5,NA,NA,NA,NA,NA,5,2,4,5,NA,3,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3,4,4,5,4,5,5,5,5,5,NA,0,6,4,2,"Male","A","A","D","B",10,10,7,9,10,10,14,10,9,13,10,9,2,2,2,2,3,2,2,5,5,5,5,4,5,4,4,3,5,1,4
76000,1,1,1,NA,1,1,4,NA,2,2,NA,NA,3.5,4,4.5,4,4,1.5,3.5,5,1.5,3,2,2,1.5,2,3.5,NA,NA,NA,NA,NA,4,3,3,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,2,NA,NA,5,3,5,5,3,3,5,5,4,NA,0,4,2,1,"Male","C","B","C","C",14,16,9,14,9,10,13,16,11,14,10,10,3,3,3,3,3,3,3,5,5,3,3,5,5,4,4,5,5,5,4
77000,1,1,0,NA,1,1,3,NA,1,NA,NA,NA,5.5,2.5,6,3,4.5,3.5,2.5,2.5,1.5,6.5,6.5,2,7,5.5,7,NA,NA,NA,NA,NA,5,4,2,4,4,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,3,4,3,4,5,2,5,5,5,5,NA,0,4,2,1,"Male","B","A","B","D",13,9,4,13,4,8,14,13,7,9,4,8,2,2,2,2,2,2,2,5,5,5,2,5,4,5,5,5,4,5,4
78000,1,1,1,NA,1,1,5,NA,3,4,NA,NA,3.5,6.5,6.5,5.5,3.5,5,7,3,6,1.5,5.5,6.5,6,5.5,2,NA,NA,NA,NA,NA,2,2,3,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,2,2,3,3,3,5,NA,0,6,1,2,"Male","C","D","D","C",11,14,10,13,12,9,12,14,11,14,11,10,2,2,2,1,2,2,2,3,3,3,2,2,3,5,4,5,2,2,4
80000,1,1,1,NA,1,1,4,6,2,2,3,3,3,6.5,6,5,6.5,2,3.5,2.5,5,4,6,6.5,4.5,4.5,3.5,4.5,6,3.5,3,2.5,3,3,4,3,2,NA,NA,NA,NA,3,NA,1,NA,NA,3,3,2,4,2,4,3,4,4,5,5,5,6,1,NA,4,1,"Male","C","C","C","B",7,10,4,11,7,4,12,10,8,9,9,9,2,2,2,2,2,3,2,5,5,4,4,3,4,4,3,4,5,3,4
83000,1,1,1,NA,1,1,6,NA,1,1,NA,NA,5.5,3.5,4,3.5,5.5,7,4,7,5,3.5,6,2,5,5,7,NA,NA,NA,NA,NA,4,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,4,4,4,4,3,5,5,5,6,NA,NA,NA,NA,1,"Male","B","B","C","C",13,16,9,13,9,10,14,14,6,9,8,7,3,3,3,2,3,3,3,5,5,5,3,4,4,4,4,3,4,4,5
